"vague","grappe","menage","s16aq02","s16a01a","s16aq03","s16a01b","s16aq05","s16aq07","s16aq08","s16aq09a","s16aq09b","s16aq10","s16aq12","s16aq13","s16aq14__0","s16aq14__1","s16aq14__2","s16aq14__3","s16aq14__4","s16aq14__5","s16aq14__6","s16aq14__7","s16aq14__8","s16aq14__9","s16aq14__10","s16aq15","s16aq16","s16aq16a","s16aq17","s16aq18","s16aq19","s16aq20","s16aq21","s16aq22","s16aq23","s16aq24a","s16aq24b","s16aq25","s16aq26","s16aq27","s16aq28","s16aq29a1","s16aq29a2","s16aq29b1","s16aq29b2","s16aq29c1","s16aq29c2","s16aq29d1","s16aq29d2","s16aq30","s16aq31a1","s16aq31a2","s16aq31b1","s16aq31b2","s16aq31c1","s16aq31c2","s16aq31d1","s16aq31d2","s16aq32","s16aq34","s16aq36","s16aq38","s16aq40","s16aq42","s16aq44","s16aq45","s16aq47","s16aq48","s16aq33a_1","s16aq33b_1","s16aq33a_2","s16aq33b_2","s16aq33a_3","s16aq33b_3","s16aq33a_4","s16aq33b_4","s16aq33a_5","s16aq33b_5","s16aq33a_6","s16aq33b_6","s16aq33a_7","s16aq33b_7","s16aq33a_8","s16aq33b_8","s16aq33a_9","s16aq33b_9","s16aq33a_10","s16aq33b_10","s16aq33a_11","s16aq33b_11","s16aq33a_12","s16aq33b_12","s16aq33a_13","s16aq33b_13","s16aq33a_14","s16aq33b_14","s16aq33a_15","s16aq33b_15","s16aq35a_1","s16aq35b_1","s16aq35a_2","s16aq35b_2","s16aq35a_3","s16aq35b_3","s16aq35a_4","s16aq35b_4","s16aq35a_5","s16aq35b_5","s16aq35a_6","s16aq35b_6","s16aq35a_7","s16aq35b_7","s16aq35a_8","s16aq35b_8","s16aq35a_9","s16aq35b_9","s16aq35a_10","s16aq35b_10","s16aq37a_1","s16aq37b_1","s16aq37a_2","s16aq37b_2","s16aq37a_3","s16aq37b_3","s16aq37a_4","s16aq37b_4","s16aq37a_5","s16aq37b_5","s16aq37a_6","s16aq37b_6","s16aq37a_7","s16aq37b_7","s16aq37a_8","s16aq37b_8","s16aq37a_9","s16aq37b_9","s16aq37a_10","s16aq37b_10","s16aq37a_11","s16aq37b_11","s16aq39a_1","s16aq39b_1","s16aq39c_1","s16aq39a_2","s16aq39b_2","s16aq39c_2","s16aq39a_3","s16aq39b_3","s16aq39c_3","s16aq39a_4","s16aq39b_4","s16aq39c_4","s16aq41a_1","s16aq41b_1","s16aq41c_1","s16aq41a_2","s16aq41b_2","s16aq41c_2","s16aq41a_3","s16aq41b_3","s16aq41c_3","s16aq41a_4","s16aq41b_4","s16aq41c_4","s16aq43a_1","s16aq43b_1","s16aq43c_1","s16aq43a_2","s16aq43b_2","s16aq43c_2","s16aq43a_3","s16aq43b_3","s16aq43c_3","s16aq43a_4","s16aq43b_4","s16aq43c_4","s16aq35a_11","s16aq35b_11","s16aq35a_12","s16aq35b_12","s16aq35a_13","s16aq35b_13","s16aq35a_14","s16aq35b_14","s16aq37a_12","s16aq37b_12","s16aq37a_13","s16aq37b_13","s16Aq00","s16aq04","s16aq06","s16aq11"
1,15,5,2,"intadaynawane1",2,"parcelle2",1,1,16,956.87,2,1,5,7,,,,,,,,,,,,2,,,1,2,2,3,40,1,5,20,9,2,,1,6,2,3,0,,2,3,0,,1,3,3,1,3,0,,0,,1,2,1,1,2,1,2,1,0.095687,,1,5,5,7,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,7,3,7,4,7,5,7,7,7,10,7,,,,,,,,,4,7,120000,0,,,0,,,0,,,,,,,,,,,,,,,4,5,50000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,5,2,"intadaynawane1",1,"parcelle1",1,1,36,1707.48,2,1,5,7,,,,,,,,,,,,2,,,1,2,2,2,40,1,2,3,9,2,,1,4,0,,0,,3,3,0,,1,3,3,2,3,1,3,0,,2,2,2,1,2,1,2,1,0.170748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,57500,0,,,0,,,0,,,,,,,,,,,,,,,6,4,60000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,5,3,"intadaynawane2",1,"parcelle1",1,1,16,3573.47,2,1,5,7,,,,,,,,,,,,2,,,1,2,2,2,45,1,5,30,9,2,,1,4,1.5,3,0,,1,3,0,,1,4,3,2,3,0,,0,,2,2,1,1,2,1,2,1,0.357347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,12,3,12,4,12,5,12,7,12,10,12,,,,,,,,,4,7,120000,0,,,0,,,0,,,,,,,,,,,,,,,4,7,70000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,5,2,"intadaynawane1",3,"parcelle3",1,1,33,1003.27,2,1,5,7,,,,,,,,,,,,2,,,1,2,2,3,40,1,5,15,9,1,2,1,3,1.5,3,0,,1,3,0,,1,3,3,2,3,1,3,0,,1,2,1,1,2,1,2,1,0.100327,,5,7,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,4,6,5,6,7,6,10,6,,,,,,,,,,,,,4,5,60000,0,,,0,,,0,,,,,,,,,,,,,,,4,6,60000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,5,3,"intadaynawane2",2,"parcelle2",1,1,29,1238.18,2,1,5,7,,,,,,,,,,,,2,,,1,2,2,2,45,1,5,5,9,2,,1,5,0,,0,,1,3,0,,1,4,3,0,,0,,0,,2,2,1,1,2,2,2,1,0.123818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,3,2,5,2,7,2,10,2,,,,,,,,,,,2,2,10000,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,15,5,3,"intadaynawane2",3,"parcelle3",1,1,36,3374.9,2,1,5,7,,,,,,,,,,,,2,,,1,2,2,2,45,1,5,30,9,2,,1,4,1.5,3,0,,1,3,0,,1,3,3,3,3,0,,0,,2,2,1,1,2,1,2,1,0.33479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,2,12,3,12,5,12,7,12,10,12,,,,,,,,,,,4,4,40000,0,,,0,,,0,,,,,,,,,,,,,,,4,7,70000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,5,1,"inguilichan",2,"parcelle 2",1,1,4,2507.86,2,1,5,7,,,,,,,,,,,,2,,,1,3,2,2,20,1,2,40,7,2,,1,1,0,,0,,15,4,2,3,2,,,,,,,,,1,2,1,1,1,2,2,1,0.250786,,2,6,3,6,4,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,10,3,10,4,10,7,10,10,5,,,,,,,,,,,4,5,40000,0,,,0,,,0,,,1,12,30000,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,15,6,1,"NORD GOULBI1 EXTREME EST",3,"HOMME DE TRERRE",1,1,16,348.89,2,6,,,,,,,,,,,,,,,,,1,2,2,2,120,1,4,12,4,2,,1,3,2,3,0,,0,,0,,1,1,3,0,,1,3,0,,1,1,1,2,1,1,2,1,348.89,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,150000,0,,,0,,,0,,,5,5,50000,0,,,0,,,0,,,,,,,,,,,,,,,1,7,2,
1,15,6,2,"MORD GOULBI2 MILIEU",2,"MAÏS",1,1,4,1344.98,2,1,1,7,,,,,,,,,,,,2,,,1,2,2,2,120,1,4,50,3,2,,1,1,1,3,0,,0,,0,,1,4,3,0,,0,,0,,1,2,1,1,1,1,2,1,1344.98,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,2,2,0,0,,,0,,,0,,,3,5,30000,0,,,0,,,0,,,4,5,20000,0,,,0,,,0,,,,,,,,,,,,,,,1,2,2,2
1,15,6,2,"MORD GOULBI2 MILIEU",1,"POMME DE TERRE",1,1,16,713.54,2,1,1,3,2,,,,,,,,,,,2,,,1,2,2,1,120,1,4,30,3,2,,1,2,3,3,0,,0,,0,,1,2,3,0,,1,3,0,,1,2,1,2,1,1,2,1,713.547,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,100000,0,,,0,,,0,,,5,5,50000,0,,,0,,,0,,,,,,,,,,,,,,,1,2,2,2
1,15,6,1,"NORD GOULBI1 EXTREME EST",2,"PIMENT VERT",1,1,24,276.62,2,6,,,,,,,,,,,,,,,,,1,2,2,2,120,1,4,25,4,2,,1,2,2,3,0,,0,,0,,1,2,3,0,,0,,0,,1,2,1,2,1,1,2,1,276.62,,2,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,16000,0,,,0,,,0,,,5,3,16000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,2,
1,15,6,1,"NORD GOULBI1 EXTREME EST",1,"TOMATE",1,1,29,640.49,2,6,,,,,,,,,,,,,,,,,1,2,2,1,120,1,4,25,2,2,,1,8,4,3,0,,0,,0,,1,7,3,0,,0,,0,,1,1,1,1,2,1,2,1,640.49,,2,7,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,80,8,80,,,,,,,,,,,,,,,,,2,19,8,10,,,,,,,,,,,,,,,,,,,7,7,2000,0,,,0,,,0,,,,,,,,,,,,,,,7,5,70000,0,,,0,,,0,,,,,,,,,,,,,,,1,2,2,
1,15,9,1,"AZA",2,"parcelle2",1,1,24,0.16,1,1,5,7,,,,,,,,,,,,2,,,1,3,2,2,20,2,,,,2,,1,2,20,1,0,,0,,0,,1,1,3,0,,0,,0,,1,2,2,1,1,2,2,1,0.16,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,20000,0,,,0,,,0,,,1,10,25000,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,15,9,1,"AZA",1,"parcelle1",1,1,29,0.67,1,1,5,7,,,,,,,,,,,,2,,,1,3,2,2,20,2,,,,2,,1,2,30,1,0,,0,,0,,1,1,3,0,,0,,0,,2,2,2,1,1,2,2,1,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,22500,0,,,1,2,5000,0,,,1,3,15000,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,15,10,2,"Azene",1,"parcelle1",1,1,29,456.74,2,1,5,7,,,,,,,,,,,,2,,,1,2,2,2,20,1,5,60,2,2,,1,4,1,3,0,,1,3,2,3,1,2,3,0,,1,3,0,,1,2,1,1,2,1,2,1,0.045674,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,3,4,30000,0,,,0,,,0,,,,,,,,,,,,,,,2,4,16000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,15,10,2,"Azene",2,"parcelle2",1,1,16,1077.97,2,1,5,7,,,,,,,,,,,,2,,,1,3,2,2,20,1,5,15,2,2,,1,3,0.5,3,0,,1,3,0,,1,2,3,2,3,0,,0,,1,2,1,1,2,1,2,1,0.107797,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,5,7,70000,0,,,0,,,0,,,,,,,,,,,,,,,4,5,40000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,17,3,1,"Zomo",2,"Oignon",1,1,33,1040.92,2,1,5,7,,,,,,,,,,,,2,,,1,2,2,2,7,1,2,10,3,2,,2,,,,,,,,,,1,1,3,0,,0.5,3,0,,1,1,1,2,2,2,4,1,0.104092,,1,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,2,,,,,,,,,,,,,,,,,1,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1
1,17,3,1,"Zomo",3,"Ail",1,1,36,1001.39,2,1,5,7,,,,,,,,,,,,2,,,1,2,2,2,7,1,2,40,3,2,,1,2,0.5,3,0,,0,,0,,1,1.5,3,0,,0,,0,,1,1,1,2,1,2,4,1,0.100139,,1,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,2,,,,,,,,,,,,,,,,,1,10,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,12000,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1
1,17,3,1,"Zomo",1,"Maïs",1,1,4,2378.64,2,1,5,7,,,,,,,,,,,,2,,,1,2,2,2,7,1,2,1,9,2,,1,1,3,4,0,,0,,0,,2,,,,,,,,,1,1,1,2,2,2,2,1,0.237864,,1,8,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,4,,,,,,,,,,,,,,,,,1,2,2,2,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1
1,17,4,1,"tchintaghalen",2,"Maïs",1,1,4,2688.44,2,2,,,,,,,,,,,,,,,,,1,1,2,1,5,1,2,1,9,2,,1,3,6,4,0,,0,,0,,2,,,,,,,,,1,1,1,1,1,2,2,1,0.268844,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,1,2,5000,0,,,0,,,0,,,1,2,5000,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
1,17,4,1,"tchintaghalen",1,"Blé",1,1,6,457.46,2,2,,,,,,,,,,,,,,,,,1,1,2,1,5,1,2,1,9,2,,1,2,4,4,0,,0,,0,,2,,,,,,,,,1,2,2,2,2,1,2,1,0.045746,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,10000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,
1,17,6,1,"1",2,"OIGNON",1,1,33,300,2,1,4,7,,,,,,,,,,,,2,,,1,1,5,3,3,2,,,,2,,1,2,25,1,0,,25,1,0,,1,2,3,0,,1,3,0,,1,1,1,1,2,1,2,1,0.14,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,90,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,1,15,30000,0,,,0,,,0,,,,,,,,,,,,,,,1,7,14000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,1
1,17,6,1,"1",3,"ORANGE",1,1,53,300,2,1,4,7,,,,,,,,,,,,2,,,1,1,5,2,3,2,,,,2,,2,,,,,,,,,,2,,,,,,,,,2,1,1,2,2,2,1,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,17,6,1,"1",1,"MAÏS",1,1,4,400,2,1,4,7,,,,,,,,,,,,2,,,1,1,5,3,3,1,4,10,3,2,,2,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,2,2,1,0.18,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
1,17,7,1,"CHAMP1",2,"BLÉ",2,1,6,400,2,6,,,,,,,,,,,,,,,,,1,3,5,2,6,1,4,0.5,9,2,,2,,,,,,,,,,2,,,,,,,,,2,2,2,1,1,1,2,1,0.031094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5000,0,,,0,,,0,,,1,13,10000,0,,,0,,,0,,,3,4,5000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,,
1,17,7,1,"CHAMP1",5,"ORGE",2,1,3,240,2,1,5,7,,,,,,,,,,,,2,,,1,3,5,2,6,1,4,0.25,9,2,,2,,,,,,,,,,2,,,,,,,,,2,2,2,1,1,1,2,1,0.056696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1200,0,,,0,,,0,,,2,22,13200,0,,,0,,,0,,,2,1,600,0,,,0,,,0,,,,,,,,,,,,,,,1,1,,1
1,17,7,1,"CHAMP1",3,"OIGNON",2,1,33,1200,2,6,,,,,,,,,,,,,,,,,1,3,5,2,6,1,4,1,9,2,,1,2,1,3,0,,0,,0,,1,2,3,0,,1,3,0,,2,2,2,1,1,1,2,1,0.08174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,23500,0,,,0,,,0,,,2,45,190000,0,,,0,,,0,,,2,6,24000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,,
1,17,7,1,"CHAMP1",1,"MAÏS",1,1,4,800,2,1,5,7,,,,,,,,,,,,2,,,1,3,5,2,6,1,4,0.5,9,2,,2,,,,,,,,,,2,,,,,,,,,2,2,2,1,1,1,2,1,0.001047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1000,0,,,0,,,0,,,1,25,20500,0,,,0,,,0,,,1,1,1000,0,,,0,,,0,,,,,,,,,,,,,,,1,1,1,2
