"grappe","vague","s02q00","s02q01__1","s02q01__2","s02q01__3","s02q01__4","s02q01__5","s02q01__6","s02q01__7","s02q01__8","s02q01__9","s02q01__10","s02q01__11","s02q01__12","s02q01__13","s02q01__14","s02q01__15","s02q01__16","s02q01__17","s02q01__18","s02q01__19","s02q01__20","s02q01__21","s02q01__22","s02q01__23","s02q01__24","s02q01__25","s02q01__26","s02q01__27","s02q02","s02q02_autre","s02q03","s02q04__0","s02q04__1","s02q04__2","s02q04__3","s02q04__4","s02q04__5","s02q04__6","s02q04__7","s02q04__8","s02q04__9","s02q04__10","s02q04__11","s02q04_autre"
273,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,180,1,0,0,0,0,0,0,0,0,0,0,0,
382,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,"manque de salles d'hospitalisation"
400,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,25,0,1,0,0,0,0,0,0,0,0,0,0,
68,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,,150,0,0,0,0,0,0,0,0,0,0,0,1,"LA BANQUE EST TOUJOURS FERMÉE"
434,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
283,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,60,0,1,0,0,0,0,0,0,0,0,0,0,
498,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
435,1,4,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,,15,0,0,0,0,0,0,0,0,0,0,0,1,"MANQUE DES CLASSE"
111,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,0,0,"PROBLÈME  D EAU"
186,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,60,1,0,0,0,0,0,0,0,0,0,0,0,
100,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,0,0,"MANQUE DE CLÔTURE"
29,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,
239,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,15,0,1,0,0,0,0,0,0,0,0,0,0,
232,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
403,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,150,0,1,0,0,0,0,0,0,0,0,0,0,
187,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,,10,0,0,1,0,0,0,0,0,0,0,0,0,"insuffisance de matériel"
287,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,60,0,0,0,0,0,0,0,0,0,1,0,0,
19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,24,0,1,0,0,0,0,0,0,0,0,0,0,
260,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,60,0,1,0,0,0,0,0,0,0,0,0,0,
149,1,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,3,0,0,0,0,1,0,0,0,0,0,0,0,
58,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,60,0,1,0,0,0,0,0,0,0,0,0,0,
388,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,45,0,1,0,0,0,0,0,0,0,0,0,0,
61,1,17,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,,5,1,0,0,0,0,0,0,0,0,0,0,0,
8,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,0,0,1,0,0,0,0,0,0,0,0,0,
423,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,190,1,0,0,0,0,0,0,0,0,0,0,0,
74,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,120,0,1,0,0,0,0,0,0,0,0,0,0,
63,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,,10,1,0,0,0,0,0,0,0,0,0,0,0,
341,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
331,1,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,,10,1,0,0,0,0,0,0,0,0,0,0,0,
139,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,15,0,1,0,0,0,0,0,0,0,0,0,0,
80,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,120,0,1,0,0,0,0,0,0,0,0,0,0,
13,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,3,0,1,0,0,0,0,0,0,0,0,0,0,
258,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1,0,0,0,0,0,0,0,0,0,
41,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,"insuffisance d'infrastructure"
285,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,60,0,0,0,0,0,0,0,1,0,0,0,0,
135,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,90,0,1,0,0,0,0,0,0,0,0,0,0,
153,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,90,0,1,0,0,0,0,0,0,0,0,0,0,
267,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,40,0,1,0,0,0,0,0,0,0,0,0,0,
264,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,25,0,0,0,0,1,0,0,0,0,0,0,0,
495,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,
269,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,15,1,0,0,0,0,0,0,0,0,0,0,0,
22,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,300,1,0,0,0,0,0,0,0,0,0,0,0,
348,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,0,0,1,0,0,0,0,0,0,0,
484,2,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
417,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,60,0,0,0,0,0,0,0,1,0,0,0,0,"IGNORANCE"
67,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
390,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,130,0,1,0,0,0,0,0,0,0,0,0,0,
17,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,1,0,0,0,0,0,0,0,0,0,"manque de cantine scolaire,  manoeuvres et leur paiement,  logement,  manque de latrines, ruptures de vivres"
182,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,"INSUFFISANCE D'EAU"
294,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
118,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
316,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
493,1,22,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,,7,0,0,0,0,1,0,0,0,0,0,0,0,
340,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,180,0,1,0,0,0,0,0,0,0,0,0,0,
130,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,"NON STRUCTUREE"
412,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,"MANQUE DE MEDICAMENT"
333,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,120,0,1,0,0,0,0,0,0,0,0,0,0,
155,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,30,0,1,0,0,0,0,0,0,0,0,0,0,
103,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,120,0,1,0,0,0,0,0,0,0,0,0,0,
101,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,0,0,
291,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,120,0,1,0,0,0,0,0,0,0,0,0,0,
429,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,60,1,0,0,0,0,0,0,0,0,0,0,0,
468,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
51,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,7,0,1,0,0,0,0,0,0,0,0,0,0,
40,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,"MANQUE DES MEDICAMENTS"
233,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,120,0,1,0,0,0,0,0,0,0,0,0,0,
5,1,6,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,,30,0,0,0,0,0,0,0,0,0,1,0,0,
39,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,
138,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,"MANQUE DE MEDICAMENTS"
219,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,180,0,1,0,0,0,0,0,0,0,0,0,0,
81,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,,180,0,1,0,0,0,0,0,0,0,0,0,0,
384,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,"mobilité de l'agent"
379,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,30,1,0,0,0,0,0,0,0,0,0,0,0,
14,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,25,0,1,0,0,0,0,0,0,0,0,0,0,
322,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,45,0,0,0,0,0,0,0,1,0,0,0,0,
198,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,20,1,0,0,0,0,0,0,0,0,0,0,0,
450,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
4,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
491,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
75,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,7,1,0,0,0,0,0,0,0,0,0,0,0,
151,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,30,0,1,0,0,0,0,0,0,0,0,0,0,
351,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,"INSUFFISSANCE DE PRODUIT"
163,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
9,1,4,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,20,0,0,0,0,0,0,0,1,0,0,0,0,"manque d'eau, electricite,  et  cloture"
133,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
290,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,180,1,0,0,0,0,0,0,0,0,0,0,0,
46,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,,48,0,1,0,0,0,0,0,0,0,0,0,0,
360,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
122,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,1,"PAS DE CLÔTURE,  EAUX  ET ÉLECTRICITÉ"
458,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,40,1,0,0,0,0,0,0,0,0,0,0,0,
262,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,120,0,1,0,0,0,0,0,0,0,0,0,0,
344,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,120,0,1,0,0,0,0,0,0,0,0,0,0,
174,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,120,0,1,0,0,0,0,0,0,0,0,0,0,
356,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,10,0,1,0,0,0,0,0,0,0,0,0,0,
328,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,1,0,0,0,0,0,0,"ABSENCES DE CERTAINS PRODUITS"
310,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,120,0,1,0,0,0,0,0,0,0,0,0,0,
471,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
470,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
472,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,25,1,0,0,0,0,0,0,0,0,0,0,0,
325,1,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,,5,0,0,0,0,0,0,0,0,0,0,0,1,"MANQUE DE CLIENTÈLE"
256,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,30,0,1,0,0,0,0,0,0,0,0,0,0,
415,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,5,0,0,0,0,0,0,0,0,1,0,0,0,
251,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,0,0,
410,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,30,0,1,0,0,0,0,0,0,0,0,0,0,
303,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,2,0,1,0,0,0,0,0,0,0,0,0,0,
218,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,90,0,1,0,0,0,0,0,0,0,0,0,0,
154,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,40,1,0,0,0,0,0,0,0,0,0,0,0,
438,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,15,0,0,0,0,0,0,0,0,0,1,0,0,
281,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,60,0,0,0,0,0,0,0,1,0,0,0,0,
271,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,15,1,0,0,0,0,0,0,0,0,0,0,0,
90,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1,0,0,0,0,0,0,0,
206,2,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
279,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,60,0,1,0,0,0,0,0,0,0,0,0,0,
62,1,8,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,,45,0,0,0,0,0,0,0,0,0,1,0,0,"MANQUE DES PRODUITS"
234,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
193,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,300,0,1,0,0,0,0,0,0,0,0,0,0,
478,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
157,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,20,0,1,0,0,0,0,0,0,0,0,0,0,
436,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,
121,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,20,0,0,1,0,0,0,0,0,0,0,0,0,
335,1,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,,2,0,0,0,0,1,0,0,0,0,0,0,0,
170,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
96,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,240,0,1,0,0,0,0,0,0,0,0,0,0,
392,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,25,0,1,0,0,0,0,0,0,0,0,0,0,
286,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,35,0,1,0,0,0,0,0,0,0,0,0,0,
159,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,30,0,0,0,0,0,0,0,0,0,0,1,0,
171,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,0,0,1,,4,0,0,0,0,0,0,0,0,0,0,0,1,"LA NON SCOLARISION DES LEUNES FILLES"
488,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,
208,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,15,1,0,0,0,0,0,0,0,0,0,0,0,
490,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
194,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,5,0,1,0,0,0,0,0,0,0,0,0,0,
179,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,0,0,1,0,0,0,0,0,0,0,
441,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,20,1,0,0,0,0,0,0,0,0,0,0,0,
350,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,90,1,0,0,0,0,0,0,0,0,0,0,0,
